rank,name,original_position,volatility,best_position,best_overall,max_speed_at_best_pos,pos2,pos2_overall,pos3,pos3_overall,pos4,pos4_overall,pos5,pos5_overall
40,Luis Bowers,QB,20.0,RB,67.3,91.3,CB,61.5,WR,60.9,SS,60.2,DT,59.9
41,Thomas Smith,MLB,72.0,CB,67.0,88.4,FS,65.3,SS,63.8,SLB,58.5,WLB,56.4
42,James Dowell,RG,10.0,C,88.8,73.1,LG,84.0,LT,83.9,RG,83.9,RT,83.8
43,Nathan Miles,C,98.0,C,88.8,67.2,LT,86.7,LG,86.7,RG,86.6,RT,86.6
44,Edward Green,RG,10.0,C,88.4,56.5,LG,87.7,LT,87.6,RG,87.6,RT,87.5
45,Micheal Albert,RT,40.0,LT,86.3,58.6,LG,86.3,RG,86.2,RT,86.1,C,80.9
46,Wade Wilkinson,RT,28.0,LG,85.6,55.2,LT,85.5,RG,85.5,RT,85.4,C,79.9
47,William Fairley,LG,36.0,C,85.1,51.1,LT,83.7,LG,83.7,RG,83.6,RT,83.6
48,Alberto Rundell,LT,46.0,LG,84.2,49.6,LT,84.1,RG,84.1,RT,84.0,C,78.4
49,Benjamin Carter,FS,10.0,SLB,84.0,82.3,LDE,82.5,RDE,82.5,DT,81.6,SS,81.1
50,Cleveland Smith,RG,96.0,LG,83.8,45.3,LT,83.7,RG,83.7,RT,83.6,C,78.7
51,Derrick Alvarez,RG,60.0,LG,83.8,56.0,LT,83.7,RG,83.6,RT,83.6,C,76.8
52,Marc Perry,RT,42.0,LT,82.9,70.3,LG,82.9,RG,82.8,RT,82.8,C,76.5
53,Richard Gibbs,C,14.0,C,82.2,55.1,LT,80.5,LG,80.5,RG,80.4,RT,80.3
54,Joseph Thompson,LT,68.0,LG,81.9,63.5,LT,81.8,RG,81.8,RT,81.7,C,77.7
55,Paul Myers,TE,10.0,FB,81.6,75.8,RB,81.0,CB,60.7,SS,58.1,SLB,57.3
56,Chris Jones,LT,78.0,LG,81.4,57.4,LT,81.3,RG,81.2,RT,81.2,C,71.5
57,Cody White,RT,2.0,LT,79.7,55.0,LG,79.7,RG,79.6,RT,79.6,C,78.1
58,William Patton,WR,80.0,FB,79.6,84.5,WR,74.9,RB,73.9,TE,70.3,CB,61.7
59,Daniel Blackman,RDE,78.0,SLB,79.5,78.7,RDE,82.2,DT,82.0,SLB,79.5,WLB,75.8
60,Dylan Cordoba,RG,86.0,LT,79.0,70.5,LG,79.0,RG,78.9,RT,78.9,C,76.6
61,Thomas Rushing,LG,46.0,LT,78.8,62.4,LG,78.8,RG,78.7,RT,78.7,C,73.1
62,Robert Farrell,C,58.0,C,78.2,26.1,LG,71.2,LT,71.1,RG,71.1,RT,71.0
63,Dave Brookshire,LDE,36.0,SLB,78.1,77.5,RDE,78.9,SLB,78.1,MLB,75.0,WLB,74.2
64,Jeffery Manning,RT,64.0,LT,77.7,66.2,LG,77.7,RG,77.6,RT,77.6,C,76.3
65,Horace McBride,LT,50.0,LT,77.6,61.5,LG,77.6,RG,77.5,RT,77.5,C,69.7
66,John Wheaton,RT,74.0,C,77.1,74.2,LG,72.8,LT,72.7,RG,72.6,RT,72.6
67,Landon Blanton,C,66.0,LT,76.5,71.4,LG,76.5,RG,76.4,RT,76.4,C,75.6
68,Don Muirhead,RT,48.0,LT,76.4,47.1,LG,76.4,RG,76.3,RT,76.3,C,67.8
69,Walter Harvin,RG,30.0,C,75.6,51.1,LT,70.7,LG,70.7,RG,70.6,RT,70.6
70,Lewis Speight,RDE,24.0,WLB,75.4,83.1,SLB,75.1,MLB,75.1,LDE,71.2,RDE,71.2
71,Herbert Renner,C,34.0,LG,75.0,49.4,LT,74.9,RG,74.8,RT,74.8,C,70.4
72,Luis Holt,DT,48.0,WLB,74.8,74.6,MLB,71.6,DT,67.4,SLB,64.9,LDE,58.0
73,Jaime Johnson,RG,22.0,C,74.3,79.7,LG,68.2,LT,68.1,RG,68.1,RT,68.0
74,Ross Bostic,DT,56.0,SLB,73.9,86.4,RDE,75.0,SLB,73.9,MLB,73.8,WLB,72.9
75,William Harris,C,58.0,C,73.7,74.4,LG,71.7,LT,71.6,RG,71.6,RT,71.5
76,Raymond King,C,28.0,C,73.6,72.2,LG,66.4,LT,66.3,RG,66.2,RT,66.2
77,Wayne Purcell,CB,32.0,MLB,73.3,65.9,,0,,0,,0,,0
78,Mark Smith,MLB,42.0,SLB,73.3,77.6,RDE,74.7,SLB,73.3,CB,72.7,FS,69.5
79,Joseph Guerrera,RG,30.0,LG,73.3,77.8,LT,73.2,RG,73.2,RT,73.1,C,65.2
80,John Owens,RT,8.0,LG,73.2,45.1,LT,73.1,RG,73.0,RT,73.0,C,65.9
81,Jonathan Zamora,RDE,46.0,SLB,73.1,76.0,WLB,71.8,MLB,71.6,LDE,68.6,RDE,68.6
82,Robert Gilbert,C,70.0,LT,73.0,33.2,LG,73.0,RG,72.9,RT,72.8,C,67.4
83,Francis Lewis,DT,84.0,MLB,71.9,68.4,,0,,0,,0,,0
84,Jerry Felts,WLB,100.0,MLB,71.2,65.7,DT,69.6,,0,,0,,0
85,Gregory Thompson,CB,66.0,MLB,71.1,63.7,,0,,0,,0,,0
86,Frederick Zink,K,74.0,K,98.1,14.9,DT,45.1,,0,,0,,0
87,James Glass,K,30.0,K,98.0,20.5,DT,50.6,,0,,0,,0
88,James Belcher,K,38.0,K,97.8,20.2,DT,45.0,,0,,0,,0
89,William Fitzpatrick,K,86.0,K,96.5,20.5,DT,50.1,,0,,0,,0
90,Franklin Smith,K,58.0,K,96.2,17.8,DT,45.0,,0,,0,,0
91,William Isabel,P,42.0,P,95.8,94.3,CB,66.7,FS,65.3,RB,63.4,WR,63.0
92,William Green,K,44.0,K,95.3,22.4,DT,54.0,,0,,0,,0
93,John Cummins,SLB,60.0,DT,92.1,59.7,MLB,74.2,,0,,0,,0
94,Daniel Westfield,MLB,54.0,DT,91.4,49.5,,0,,0,,0,,0
95,Bradley Girard,P,72.0,P,90.8,78.2,RB,54.8,CB,54.3,SS,51.8,SLB,48.9
96,Kenneth Helms,K,52.0,K,90.8,19.9,DT,46.3,,0,,0,,0
97,Jonathan Decastro,K,32.0,K,90.6,20.9,DT,41.8,,0,,0,,0
98,Landon Reaves,WLB,72.0,DT,89.0,57.4,MLB,77.4,,0,,0,,0
99,Brent Spencer,SLB,90.0,DT,88.5,57.4,MLB,76.7,,0,,0,,0
100,David Brown,MLB,72.0,DT,88.2,66.7,MLB,77.9,WLB,76.5,SLB,75.0,SS,74.3
101,Craig Wilhoite,CB,70.0,DT,87.9,70.6,FS,85.8,SS,85.2,CB,84.5,MLB,82.8
102,Joseph Carlile,MLB,22.0,DT,87.1,41.5,,0,,0,,0,,0
103,John Cole,MLB,98.0,DT,86.9,54.8,MLB,72.2,,0,,0,,0
104,Lou Henderson,WLB,98.0,DT,86.2,82.8,LDE,85.1,RDE,85.1,SLB,84.2,SS,82.3
105,Terry Real,SS,42.0,DT,84.1,45.8,,0,,0,,0,,0
106,Joseph Foley,SLB,50.0,DT,83.1,58.6,MLB,72.7,,0,,0,,0
107,Keith Carmichael,CB,6.0,DT,82.7,47.7,,0,,0,,0,,0
108,William Stickler,MLB,60.0,DT,81.9,52.7,,0,,0,,0,,0
109,Don Albert,RDE,54.0,DT,81.9,67.2,WLB,72.4,MLB,72.2,SLB,69.8,RB,48.7
110,Lonnie Stafford,RDE,54.0,DT,81.4,53.6,,0,,0,,0,,0
111,Alfonso Sanders,SS,30.0,DT,80.8,45.6,,0,,0,,0,,0
112,Ben Starling,MLB,90.0,DT,80.3,41.8,,0,,0,,0,,0
113,Rodolfo Wolf,SS,76.0,DT,79.8,42.4,,0,,0,,0,,0
114,Carl Chea,RDE,100.0,DT,79.5,50.2,,0,,0,,0,,0
115,Gregorio Bacon,SLB,0.0,DT,79.2,64.3,MLB,76.0,WLB,74.5,SLB,73.3,,0
116,Jerry Hutt,MLB,22.0,DT,79.0,65.8,SLB,68.3,MLB,62.9,WLB,62.0,SS,60.1
117,William Freeman,DT,96.0,DT,78.0,49.1,,0,,0,,0,,0
118,Troy Perez,SLB,46.0,DT,77.9,38.7,,0,,0,,0,,0
119,Edwin Guy,DT,6.0,DT,77.8,41.4,,0,,0,,0,,0
120,John Martinez,FS,24.0,DT,77.4,10.1,,0,,0,,0,,0
121,Alex Hoffman,MLB,38.0,DT,76.5,53.4,,0,,0,,0,,0
122,Carmen Griffey,DT,88.0,DT,76.1,47.3,,0,,0,,0,,0
123,Robert Humphrey,DT,50.0,DT,75.4,46.1,,0,,0,,0,,0
124,Richard Erb,FS,22.0,DT,75.1,50.1,,0,,0,,0,,0
