OffPlay,OffPlayType,OffFormation,OffPersonnel,GenBal,PassFoc,RunFoc,PossOff,WestCoast
I Formation 3WR WR Post,Long Pass,I Formation 3WR,2RB/3WR,1,0,1,1,1
I Formation Big FB Dive,Inside Run,I Formation Big,2RB/2TE/1WR,0,0,0,1,0
I Formation Big HB Counter Weak,Outside Run,I Formation Big,2RB/2TE/1WR,0,0,0,1,0
I Formation Big HB Lead Toss Weak,Outside Run,I Formation Big,2RB/2TE/1WR,0,0,0,1,0
I Formation Big HB Outside Weak,Outside Run,I Formation Big,2RB/2TE/1WR,0,0,0,1,0
I Formation Big HB Strong,Inside Run,I Formation Big,2RB/2TE/1WR,0,0,0,1,0
I Formation Big Streak Heavy,Long Pass,I Formation Big,2RB/2TE/1WR,0,0,0,1,0
I Formation Big TE Curl,Medium Pass,I Formation Big,2RB/2TE/1WR,0,0,0,1,0
I Formation Big TE Sneak Out,Short Pass,I Formation Big,2RB/2TE/1WR,0,0,0,1,0
I Formation Normal Cross In,Short Pass,I Formation Normal,2RB/1TE/2WR,1,1,1,1,1
I Formation Normal Curl & Post,Medium Pass,I Formation Normal,2RB/1TE/2WR,1,1,1,1,1
I Formation Normal FB Middle,Short Pass,I Formation Normal,2RB/1TE/2WR,1,1,1,1,1
I Formation Normal FL Hitch,Short Pass,I Formation Normal,2RB/1TE/2WR,1,1,1,1,1
I Formation Normal FL Hook,Medium Pass,I Formation Normal,2RB/1TE/2WR,1,1,1,1,1
I Formation Normal HB Blast,Inside Run,I Formation Normal,2RB/1TE/2WR,1,1,1,1,1
I Formation Normal HB Counter,Inside Run,I Formation Normal,2RB/1TE/2WR,1,1,1,1,1
I Formation Normal HB Dive,Inside Run,I Formation Normal,2RB/1TE/2WR,1,1,1,1,1
I Formation Normal HB Draw,Inside Run,I Formation Normal,2RB/1TE/2WR,1,1,1,1,1
I Formation Normal HB Toss Strong,Outside Run,I Formation Normal,2RB/1TE/2WR,1,1,1,1,1
I Formation Normal HB Toss Weak,Outside Run,I Formation Normal,2RB/1TE/2WR,1,1,1,1,1
I Formation Normal Max Protect,Medium Pass,I Formation Normal,2RB/1TE/2WR,1,1,1,1,1
I Formation Normal PA Fullback Flat,Short Pass,I Formation Normal,2RB/1TE/2WR,1,1,1,1,1
I Formation Normal PA Outside Curls,Short Pass,I Formation Normal,2RB/1TE/2WR,1,1,1,1,1
I Formation Normal PA Streaks,Long Pass,I Formation Normal,2RB/1TE/2WR,1,1,1,1,1
I Formation Normal SE Post,Long Pass,I Formation Normal,2RB/1TE/2WR,1,1,1,1,1
I Formation Normal Strong Flood,Short Pass,I Formation Normal,2RB/1TE/2WR,1,1,1,1,1
I Formation Normal TE Flag,Medium Pass,I Formation Normal,2RB/1TE/2WR,1,1,1,1,1
I Formation Normal TE Out,Long Pass,I Formation Normal,2RB/1TE/2WR,1,1,1,1,1
I Formation Power HB Dive Weak,Inside Run,I Formation Power,3RB/1TE/1WR,1,1,1,1,1
I Formation Power HB Draw,Inside Run,I Formation Power,3RB/1TE/1WR,1,1,1,1,1
I Formation Power HB Strong Outside,Outside Run,I Formation Power,3RB/1TE/1WR,1,1,1,1,1
I Formation Power HB Sweep Weak,Outside Run,I Formation Power,3RB/1TE/1WR,1,1,1,1,1
I Formation Power PA Flats,Short Pass,I Formation Power,3RB/1TE/1WR,1,1,1,1,1
I Formation Power Play Action Bomb,Long Pass,I Formation Power,3RB/1TE/1WR,1,1,1,1,1
I Formation Power Play Action HB Downfield,Medium Pass,I Formation Power,3RB/1TE/1WR,1,1,1,1,1
I Formation Twin WR Hard Slants,Short Pass,I Formation Twin WR,2RB/1TE/2WR,0,1,1,0,0
I Formation Twin WR HB Counter Middle,Inside Run,I Formation Twin WR,2RB/1TE/2WR,0,1,1,0,0
I Formation Twin WR HB Toss Strong,Outside Run,I Formation Twin WR,2RB/1TE/2WR,0,1,1,0,0
I Formation Twin WR HB Toss Weak,Outside Run,I Formation Twin WR,2RB/1TE/2WR,0,1,1,0,0
I Formation Twin WR Hook Ins,Medium Pass,I Formation Twin WR,2RB/1TE/2WR,0,1,1,0,0
I Formation Twin WR Quick Outs,Short Pass,I Formation Twin WR,2RB/1TE/2WR,0,1,1,0,0
I Formation Twin WR Slot Hitch,Medium Pass,I Formation Twin WR,2RB/1TE/2WR,0,1,1,0,0
I Formation Twin WR Slot Out,Long Pass,I Formation Twin WR,2RB/1TE/2WR,0,1,1,0,0
I Formation Twin WR Strong Flood,Short Pass,I Formation Twin WR,2RB/1TE/2WR,0,1,1,0,0
Kickoff,Special Teams,Special Teams,Special Teams,1,1,1,1,1
Onsides Kick Onside Kick,Special Teams,Special Teams,Special Teams,1,1,1,1,1
Punt,Special Teams,Special Teams,Special Teams,1,1,1,1,1
Shotgun 2 RB 3 WR FB In,Medium Pass,Shotgun 2 RB 3 WR,2RB/3WR,1,1,0,0,1
Shotgun 2 RB 3 WR FL Drag,Short Pass,Shotgun 2 RB 3 WR,2RB/3WR,1,1,0,0,1
Shotgun 2 RB 3 WR RB Curls,Short Pass,Shotgun 2 RB 3 WR,2RB/3WR,1,1,0,0,1
Shotgun 2 RB 3 WR Shotgun Dive,Inside Run,Shotgun 2 RB 3 WR,2RB/3WR,1,1,0,0,1
Shotgun 2 RB 3 WR Shotgun Sweep,Outside Run,Shotgun 2 RB 3 WR,2RB/3WR,1,1,0,0,1
Shotgun 2 RB 3 WR Strong Deep,Long Pass,Shotgun 2 RB 3 WR,2RB/3WR,1,1,0,0,1
Shotgun 2 RB 3 WR WR Curl,Medium Pass,Shotgun 2 RB 3 WR,2RB/3WR,1,1,0,0,1
Shotgun 2 RB 3 WR WR Hooks,Medium Pass,Shotgun 2 RB 3 WR,2RB/3WR,1,1,0,0,1
Shotgun 4 Wide All Curls,Short Pass,Shotgun 4 Wide,1RB/4WR,0,1,0,1,1
Shotgun 4 Wide All Go,Long Pass,Shotgun 4 Wide,1RB/4WR,0,1,0,1,1
Shotgun 4 Wide In and Out,Medium Pass,Shotgun 4 Wide,1RB/4WR,0,1,0,1,1
Shotgun 4 Wide Slot Curl,Medium Pass,Shotgun 4 Wide,1RB/4WR,0,1,0,1,1
Shotgun 4 Wide Slot Drag,Short Pass,Shotgun 4 Wide,1RB/4WR,0,1,0,1,1
Shotgun 4 Wide WR Corner,Long Pass,Shotgun 4 Wide,1RB/4WR,0,1,0,1,1
Shotgun 5 Wide 5 WR All Go,Long Pass,Shotgun 5 Wide,5WR,1,1,1,0,1
Shotgun 5 Wide 5 WR Corner Post,Long Pass,Shotgun 5 Wide,5WR,1,1,1,0,1
Shotgun 5 Wide 5 WR Deep Ins,Long Pass,Shotgun 5 Wide,5WR,1,1,1,0,1
Shotgun 5 Wide FL Hook,Medium Pass,Shotgun 5 Wide,5WR,1,1,1,0,1
Shotgun 5 Wide Middle Curls,Short Pass,Shotgun 5 Wide,5WR,1,1,1,0,1
Shotgun 5 Wide Parallel Slants,Short Pass,Shotgun 5 Wide,5WR,1,1,1,0,1
Shotgun 5 Wide Slot Cross,Medium Pass,Shotgun 5 Wide,5WR,1,1,1,0,1
Shotgun 5 Wide Slot Drag,Short Pass,Shotgun 5 Wide,5WR,1,1,1,0,1
Shotgun 5 Wide WR Curls,Medium Pass,Shotgun 5 Wide,5WR,1,1,1,0,1
Shotgun Normal Deep Weak In and Out,Long Pass,Shotgun Normal,1RB/1TE/3WR,1,1,0,1,1
Shotgun Normal Double Outs,Short Pass,Shotgun Normal,1RB/1TE/3WR,1,1,0,1,1
Shotgun Normal FL Slant,Short Pass,Shotgun Normal,1RB/1TE/3WR,1,1,0,1,1
Shotgun Normal Hail Mary,Long Pass,Shotgun Normal,1RB/1TE/3WR,1,1,0,1,1
Shotgun Normal HB Delay,Inside Run,Shotgun Normal,1RB/1TE/3WR,1,1,0,1,1
Shotgun Normal HB Dive,Inside Run,Shotgun Normal,1RB/1TE/3WR,1,1,0,1,1
Shotgun Normal HB Flare,Medium Pass,Shotgun Normal,1RB/1TE/3WR,1,1,0,1,1
Shotgun Normal HB Sweep,Outside Run,Shotgun Normal,1RB/1TE/3WR,1,1,0,1,1
Shotgun Normal Post Flags,Medium Pass,Shotgun Normal,1RB/1TE/3WR,1,1,0,1,1
Shotgun Normal Short Attack,Medium Pass,Shotgun Normal,1RB/1TE/3WR,1,1,0,1,1
Shotgun Normal Slot Drag,Short Pass,Shotgun Normal,1RB/1TE/3WR,1,1,0,1,1
Shotgun Normal TE Out,Short Pass,Shotgun Normal,1RB/1TE/3WR,1,1,0,1,1
Singleback 4 Wide Clear Center,Medium Pass,Singleback 4 Wide,1RB/4WR,1,0,1,1,0
Singleback 4 Wide Deep Middle,Long Pass,Singleback 4 Wide,1RB/4WR,1,0,1,1,0
Singleback 4 Wide Post and Curls,Medium Pass,Singleback 4 Wide,1RB/4WR,1,0,1,1,0
Singleback 4 Wide Post and Drag,Medium Pass,Singleback 4 Wide,1RB/4WR,1,0,1,1,0
Singleback 4 Wide Quick Outs,Short Pass,Singleback 4 Wide,1RB/4WR,1,0,1,1,0
Singleback 4 Wide WR Crosses,Short Pass,Singleback 4 Wide,1RB/4WR,1,0,1,1,0
Singleback Big Corner Ins,Medium Pass,Singleback Big,1RB/2TE/2WR,1,1,1,1,1
Singleback Big HB Curls TE Deep,Medium Pass,Singleback Big,1RB/2TE/2WR,1,1,1,1,1
Singleback Big HB Inside Strong,Inside Run,Singleback Big,1RB/2TE/2WR,1,1,1,1,1
Singleback Big HB Pitch Weak,Outside Run,Singleback Big,1RB/2TE/2WR,1,1,1,1,1
Singleback Big Ins and Outs,Short Pass,Singleback Big,1RB/2TE/2WR,1,1,1,1,1
Singleback Big Off Tackle Strong,Outside Run,Singleback Big,1RB/2TE/2WR,1,1,1,1,1
Singleback Big PA Curls,Short Pass,Singleback Big,1RB/2TE/2WR,1,1,1,1,1
Singleback Big TE Flat Curl,Short Pass,Singleback Big,1RB/2TE/2WR,1,1,1,1,1
Singleback Big Waggle Post,Long Pass,Singleback Big,1RB/2TE/2WR,1,1,1,1,1
Singleback Big WR Deep,Medium Pass,Singleback Big,1RB/2TE/2WR,1,1,1,1,1
Singleback Big WR Streaks,Long Pass,Singleback Big,1RB/2TE/2WR,1,1,1,1,1
Singleback Empty 4 Curl Flats,Short Pass,Singleback Empty 4,1TE/4WR,1,1,1,1,1
Singleback Empty 4 Short Posts,Short Pass,Singleback Empty 4,1TE/4WR,1,1,1,1,1
Singleback Empty 4 Slot Crosses,Medium Pass,Singleback Empty 4,1TE/4WR,1,1,1,1,1
Singleback Empty 4 TE Corner,Medium Pass,Singleback Empty 4,1TE/4WR,1,1,1,1,1
Singleback Empty 4 TE Deep Out,Long Pass,Singleback Empty 4,1TE/4WR,1,1,1,1,1
Singleback Empty 4 TE Drag WR Mix,Medium Pass,Singleback Empty 4,1TE/4WR,1,1,1,1,1
Singleback Empty 4 WR Post Corner,Long Pass,Singleback Empty 4,1TE/4WR,1,1,1,1,1
Singleback Normal All Go,Long Pass,Singleback Normal,1RB/1TE/3WR,1,1,1,0,0
Singleback Normal Deep Corners,Long Pass,Singleback Normal,1RB/1TE/3WR,1,1,1,0,0
Singleback Normal FL Drag,Long Pass,Singleback Normal,1RB/1TE/3WR,1,1,1,0,0
Singleback Normal FL Go,Long Pass,Singleback Normal,1RB/1TE/3WR,1,1,1,0,0
Singleback Normal FL Post,Medium Pass,Singleback Normal,1RB/1TE/3WR,1,1,1,0,0
Singleback Normal HB Counter Weak,Outside Run,Singleback Normal,1RB/1TE/3WR,1,1,1,0,0
Singleback Normal HB Dive Strong,Inside Run,Singleback Normal,1RB/1TE/3WR,1,1,1,0,0
Singleback Normal HB Dive Weak,Inside Run,Singleback Normal,1RB/1TE/3WR,1,1,1,0,0
Singleback Normal HB Inside Weak,Inside Run,Singleback Normal,1RB/1TE/3WR,1,1,1,0,0
Singleback Normal HB Release Mid,Medium Pass,Singleback Normal,1RB/1TE/3WR,1,1,1,0,0
Singleback Normal Hitch Corner,Short Pass,Singleback Normal,1RB/1TE/3WR,1,1,1,0,0
Singleback Normal PA Rollout,Medium Pass,Singleback Normal,1RB/1TE/3WR,1,1,1,0,0
Singleback Normal Post Corner,Medium Pass,Singleback Normal,1RB/1TE/3WR,1,1,1,0,0
Singleback Normal Quick Looks,Short Pass,Singleback Normal,1RB/1TE/3WR,1,1,1,0,0
Singleback Normal Quick Slant,Short Pass,Singleback Normal,1RB/1TE/3WR,1,1,1,0,0
Singleback Normal SE Quick Hit,Short Pass,Singleback Normal,1RB/1TE/3WR,1,1,1,0,0
Singleback Normal Slot WR Cross,Medium Pass,Singleback Normal,1RB/1TE/3WR,1,1,1,0,0
Singleback Normal TE Quick Out,Short Pass,Singleback Normal,1RB/1TE/3WR,1,1,1,0,0
Singleback Normal WR Post,Medium Pass,Singleback Normal,1RB/1TE/3WR,1,1,1,0,0
Singleback Normal WR Quick In,Short Pass,Singleback Normal,1RB/1TE/3WR,1,1,1,0,0
Singleback Slot Strong All Go,Long Pass,Singleback Slot Strong,1RB/1TE/3WR,0,0,1,1,1
Singleback Slot Strong HB Checkdown,Medium Pass,Singleback Slot Strong,1RB/1TE/3WR,0,0,1,1,1
Singleback Slot Strong HB Counter,Outside Run,Singleback Slot Strong,1RB/1TE/3WR,0,0,1,1,1
Singleback Slot Strong HB Flat,Short Pass,Singleback Slot Strong,1RB/1TE/3WR,0,0,1,1,1
Singleback Slot Strong HB Strong Inside,Inside Run,Singleback Slot Strong,1RB/1TE/3WR,0,0,1,1,1
Singleback Slot Strong Off Tackle Strong,Outside Run,Singleback Slot Strong,1RB/1TE/3WR,0,0,1,1,1
Singleback Slot Strong Overload Strong,Medium Pass,Singleback Slot Strong,1RB/1TE/3WR,0,0,1,1,1
Singleback Slot Strong Post Curls,Short Pass,Singleback Slot Strong,1RB/1TE/3WR,0,0,1,1,1
Singleback Slot Strong Skinny Posts,Short Pass,Singleback Slot Strong,1RB/1TE/3WR,0,0,1,1,1
Singleback Slot Strong Slot Curl,Short Pass,Singleback Slot Strong,1RB/1TE/3WR,0,0,1,1,1
Singleback Slot Strong TE Corner,Medium Pass,Singleback Slot Strong,1RB/1TE/3WR,0,0,1,1,1
Singleback Slot Strong TE Slot Curls,Short Pass,Singleback Slot Strong,1RB/1TE/3WR,0,0,1,1,1
Split Backs 3 Wide Dive Left,Inside Run,Split Backs 3 Wide,2RB/3WR,0,1,1,1,0
Split Backs 3 Wide Dive Right,Inside Run,Split Backs 3 Wide,2RB/3WR,0,1,1,1,0
Split Backs 3 Wide Drag In,Medium Pass,Split Backs 3 Wide,2RB/3WR,0,1,1,1,0
Split Backs 3 Wide Off Tackle Strong,Outside Run,Split Backs 3 Wide,2RB/3WR,0,1,1,1,0
Split Backs 3 Wide Off Tackle Weak,Outside Run,Split Backs 3 Wide,2RB/3WR,0,1,1,1,0
Split Backs 3 Wide RB Curls,Short Pass,Split Backs 3 Wide,2RB/3WR,0,1,1,1,0
Split Backs 3 Wide Slot Drag,Short Pass,Split Backs 3 Wide,2RB/3WR,0,1,1,1,0
Split Backs 3 Wide Slot Post,Medium Pass,Split Backs 3 Wide,2RB/3WR,0,1,1,1,0
Split Backs 3 Wide WR Post,Medium Pass,Split Backs 3 Wide,2RB/3WR,0,1,1,1,0
Split Backs 3 Wide WR Quick Out,Short Pass,Split Backs 3 Wide,2RB/3WR,0,1,1,1,0
Split Backs 3 Wide WR2 Deep Post,Long Pass,Split Backs 3 Wide,2RB/3WR,0,1,1,1,0
Split Backs Normal Curls,Short Pass,Split Backs Normal,2RB/1TE/2WR,1,0,0,0,1
Split Backs Normal FB Off Tackle,Inside Run,Split Backs Normal,2RB/1TE/2WR,1,0,0,0,1
Split Backs Normal HB Off Tackle,Inside Run,Split Backs Normal,2RB/1TE/2WR,1,0,0,0,1
Split Backs Normal Overload Strong,Medium Pass,Split Backs Normal,2RB/1TE/2WR,1,0,0,0,1
Split Backs Normal Posts,Medium Pass,Split Backs Normal,2RB/1TE/2WR,1,0,0,0,1
Split Backs Normal Skinny Post Corner,Short Pass,Split Backs Normal,2RB/1TE/2WR,1,0,0,0,1
Split Backs Normal Strong Pitch Sweep,Outside Run,Split Backs Normal,2RB/1TE/2WR,1,0,0,0,1
Split Backs Normal TE Curl,Short Pass,Split Backs Normal,2RB/1TE/2WR,1,0,0,0,1
Split Backs Normal Weak Pitch Sweep,Outside Run,Split Backs Normal,2RB/1TE/2WR,1,0,0,0,1
Split Backs Normal WR Deep Corner,Long Pass,Split Backs Normal,2RB/1TE/2WR,1,0,0,0,1
Split Backs Normal WR Post,Medium Pass,Split Backs Normal,2RB/1TE/2WR,1,0,0,0,1
Strong I Big Backfield Drag,Short Pass,Strong I Big,2RB/2TE/1WR,0,1,1,0,0
Strong I Big HB Dive Strong,Inside Run,Strong I Big,2RB/2TE/1WR,0,1,1,0,0
Strong I Big HB Off Tackle,Inside Run,Strong I Big,2RB/2TE/1WR,0,1,1,0,0
Strong I Big HB Sweep Strong,Outside Run,Strong I Big,2RB/2TE/1WR,0,1,1,0,0
Strong I Big HB Swing,Short Pass,Strong I Big,2RB/2TE/1WR,0,1,1,0,0
Strong I Big HB Toss Strong,Outside Run,Strong I Big,2RB/2TE/1WR,0,1,1,0,0
Strong I Big HB Toss Weak,Outside Run,Strong I Big,2RB/2TE/1WR,0,1,1,0,0
Strong I Big TE Deep Corner,Long Pass,Strong I Big,2RB/2TE/1WR,0,1,1,0,0
Strong I Big TE Drag,Short Pass,Strong I Big,2RB/2TE/1WR,0,1,1,0,0
Strong I Big TE Post,Medium Pass,Strong I Big,2RB/2TE/1WR,0,1,1,0,0
Strong I Big WR Quick In,Short Pass,Strong I Big,2RB/2TE/1WR,0,1,1,0,0
Strong I Normal Counter Strong,Inside Run,Strong I Normal,2RB/1TE/2WR,1,1,1,1,1
Strong I Normal FB Dive Strong,Inside Run,Strong I Normal,2RB/1TE/2WR,1,1,1,1,1
Strong I Normal FB Trap Weak,Outside Run,Strong I Normal,2RB/1TE/2WR,1,1,1,1,1
Strong I Normal HB Dive Strong,Inside Run,Strong I Normal,2RB/1TE/2WR,1,1,1,1,1
Strong I Normal HB Off Tackle Strong,Outside Run,Strong I Normal,2RB/1TE/2WR,1,1,1,1,1
Strong I Normal HB Power Strong,Outside Run,Strong I Normal,2RB/1TE/2WR,1,1,1,1,1
Strong I Normal HB Sweep Strong,Outside Run,Strong I Normal,2RB/1TE/2WR,1,1,1,1,1
Strong I Normal PA All Go,Long Pass,Strong I Normal,2RB/1TE/2WR,1,1,1,1,1
Strong I Normal Quick Hooks,Short Pass,Strong I Normal,2RB/1TE/2WR,1,1,1,1,1
Strong I Normal Short Attack,Short Pass,Strong I Normal,2RB/1TE/2WR,1,1,1,1,1
Strong I Normal WR Post TE Out,Medium Pass,Strong I Normal,2RB/1TE/2WR,1,1,1,1,1
Victory,Victory,Victory,Victory,1,1,1,1,1
Weak I Big HB Counter Weak,Outside Run,Weak I Big,2RB/2TE/1WR,1,0,0,0,1
Weak I Big HB Dive Strong,Inside Run,Weak I Big,2RB/2TE/1WR,1,0,0,0,1
Weak I Big HB Lead Toss Weak,Outside Run,Weak I Big,2RB/2TE/1WR,1,0,0,0,1
Weak I Big HB Off Tackle Strong,Inside Run,Weak I Big,2RB/2TE/1WR,1,0,0,0,1
Weak I Big Off Tackle Weak,Outside Run,Weak I Big,2RB/2TE/1WR,1,0,0,0,1
Weak I Big TE Deep Post,Long Pass,Weak I Big,2RB/2TE/1WR,1,0,0,0,1
Weak I Big TE Drag,Short Pass,Weak I Big,2RB/2TE/1WR,1,0,0,0,1
Weak I Big WR Post TE Out,Medium Pass,Weak I Big,2RB/2TE/1WR,1,0,0,0,1
Weak I Normal All Go,Long Pass,Weak I Normal,2RB/1TE/2WR,1,1,1,1,1
Weak I Normal FB Inside Weak,Inside Run,Weak I Normal,2RB/1TE/2WR,1,1,1,1,1
Weak I Normal Fullback Counter Weak,Outside Run,Weak I Normal,2RB/1TE/2WR,1,1,1,1,1
Weak I Normal HB Inside Strong,Inside Run,Weak I Normal,2RB/1TE/2WR,1,1,1,1,1
Weak I Normal HB Inside Weak,Inside Run,Weak I Normal,2RB/1TE/2WR,1,1,1,1,1
Weak I Normal Skinny Posts,Short Pass,Weak I Normal,2RB/1TE/2WR,1,1,1,1,1
Weak I Normal WR Corner TE Middle,Medium Pass,Weak I Normal,2RB/1TE/2WR,1,1,1,1,1
